,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
fixed acidity,1.0,-0.022697290146647224,0.28918069769367094,0.0890207013621711,0.023085643656347545,-0.04939585908117295,0.09106975615864041,0.2653310138391846,-0.4258582909913777,-0.017142985021137314,-0.12088112319453241,-0.11366283071301507
volatile acidity,-0.022697290146647224,1.0,-0.1494718106485763,0.06428606009099626,0.0705115714793854,-0.09701193927796148,0.08926050355177916,0.027113845462434366,-0.031915368273489106,-0.03572814690581544,0.06771794277504474,-0.19472296892113355
citric acid,0.28918069769367094,-0.1494718106485763,1.0,0.09421162429049401,0.1143644483868177,0.09407722101469598,0.12113079766441767,0.14950257057002123,-0.16374821140062273,0.06233094028523323,-0.0757287300571792,-0.009209090883975294
residual sugar,0.0890207013621711,0.06428606009099626,0.09421162429049401,1.0,0.08868453594122577,0.2990983536935209,0.40143931115992704,0.8389664549045891,-0.19413345399025705,-0.026664365853858625,-0.45063122203172995,-0.09757682889469202
chlorides,0.023085643656347545,0.0705115714793854,0.1143644483868177,0.08868453594122577,1.0,0.10139235214133027,0.19891029964505635,0.25721132043643513,-0.0904394559759821,0.016762883708175743,-0.36018871210816106,-0.20993441094675602
free sulfur dioxide,-0.04939585908117295,-0.09701193927796148,0.09407722101469598,0.2990983536935209,0.10139235214133027,1.0,0.6155009650098348,0.29421041088431077,-0.0006177961403311848,0.0592172458252637,-0.25010394148353204,0.008158067123435949
total sulfur dioxide,0.09106975615864041,0.08926050355177916,0.12113079766441767,0.40143931115992704,0.19891029964505635,0.6155009650098348,1.0,0.5298813238786094,0.0023209717682778994,0.1345623669298102,-0.4488921020613419,-0.17473721759706043
density,0.2653310138391846,0.027113845462434366,0.14950257057002123,0.8389664549045891,0.25721132043643513,0.29421041088431077,0.5298813238786094,1.0,-0.0935914934552441,0.07449314851167639,-0.780137621425559,-0.3071233127347255
pH,-0.4258582909913777,-0.031915368273489106,-0.16374821140062273,-0.19413345399025705,-0.0904394559759821,-0.0006177961403311848,0.0023209717682778994,-0.0935914934552441,1.0,0.1559514972796521,0.12143209874912991,0.09942724573666256
sulphates,-0.017142985021137314,-0.03572814690581544,0.06233094028523323,-0.026664365853858625,0.016762883708175743,0.0592172458252637,0.1345623669298102,0.07449314851167639,0.1559514972796521,1.0,-0.017432771855951917,0.05367787713279186
alcohol,-0.12088112319453241,0.06771794277504474,-0.0757287300571792,-0.45063122203172995,-0.36018871210816106,-0.25010394148353204,-0.4488921020613419,-0.780137621425559,0.12143209874912991,-0.017432771855951917,1.0,0.4355747154613688
quality,-0.11366283071301507,-0.19472296892113355,-0.009209090883975294,-0.09757682889469202,-0.20993441094675602,0.008158067123435949,-0.17473721759706043,-0.3071233127347255,0.09942724573666256,0.05367787713279186,0.4355747154613688,1.0
